,close
0,"[19.971, 19.966]"
1,"[19.966, 19.971]"
2,"[19.971, 19.983]"
3,"[19.983, 19.989]"
4,"[19.989, 20.0]"
5,"[20.0, 20.012]"
6,"[20.012, 20.019]"
7,"[20.019, 20.024]"
8,"[20.024, 20.02]"
9,"[20.02, 20.034]"
10,"[20.034, 20.011]"
11,"[20.011, 20.021]"
12,"[20.021, 20.023]"
13,"[20.023, 20.022]"
14,"[20.022, 20.01]"
15,"[20.01, 20.025]"
16,"[20.025, 20.017]"
17,"[20.017, 20.006]"
18,"[20.006, 20.001]"
19,"[20.001, 19.998]"
20,"[19.998, 19.961]"
21,"[19.961, 19.926]"
22,"[19.926, 19.911]"
23,"[19.911, 19.92]"
24,"[19.92, 19.89]"
25,"[19.89, 19.829]"
26,"[19.829, 19.866]"
27,"[19.866, 19.873]"
28,"[19.873, 19.874]"
29,"[19.874, 19.854]"
30,"[19.854, 19.822]"
31,"[19.822, 19.817]"
32,"[19.817, 19.833]"
33,"[19.833, 19.833]"
34,"[19.833, 19.806]"
35,"[19.806, 19.794]"
36,"[19.794, 19.808]"
37,"[19.808, 19.806]"
38,"[19.806, 19.802]"
39,"[19.802, 19.802]"
40,"[19.802, 19.836]"
41,"[19.836, 19.814]"
42,"[19.814, 19.844]"
43,"[19.844, 19.835]"
44,"[19.835, 19.862]"
45,"[19.862, 19.864]"
46,"[19.864, 19.863]"
47,"[19.863, 19.866]"
48,"[19.866, 19.851]"
49,"[19.851, 19.832]"
50,"[19.832, 19.784]"
51,"[19.784, 19.795]"
52,"[19.795, 19.766]"
53,"[19.766, 19.75]"
54,"[19.75, 19.741]"
55,"[19.741, 19.78]"
56,"[19.78, 19.788]"
57,"[19.788, 19.8]"
58,"[19.8, 19.79]"
59,"[19.79, 19.782]"
60,"[19.782, 19.721]"
61,"[19.721, 19.761]"
62,"[19.761, 19.744]"
63,"[19.744, 19.77]"
64,"[19.77, 19.757]"
65,"[19.757, 19.771]"
66,"[19.771, 19.762]"
67,"[19.762, 19.755]"
68,"[19.755, 19.749]"
69,"[19.749, 19.767]"
70,"[19.767, 19.717]"
71,"[19.717, 19.665]"
72,"[19.665, 19.59]"
73,"[19.59, 19.613]"
74,"[19.613, 19.626]"
75,"[19.626, 19.67]"
76,"[19.67, 19.644]"
77,"[19.644, 19.668]"
78,"[19.668, 19.68]"
79,"[19.68, 19.674]"
80,"[19.674, 19.662]"
81,"[19.662, 19.672]"
82,"[19.672, 19.69]"
83,"[19.69, 19.696]"
84,"[19.696, 19.711]"
85,"[19.711, 19.738]"
86,"[19.738, 19.722]"
87,"[19.722, 19.73]"
88,"[19.73, 19.721]"
89,"[19.721, 19.708]"
90,"[19.708, 19.69]"
91,"[19.69, 19.667]"
92,"[19.667, 19.648]"
93,"[19.648, 19.672]"
94,"[19.672, 19.705]"
95,"[19.705, 19.702]"
96,"[19.702, 19.676]"
97,"[19.676, 19.667]"
98,"[19.667, 19.671]"
99,"[19.671, 19.665]"
100,"[19.665, 19.712]"
101,"[19.712, 19.719]"
102,"[19.719, 19.712]"
103,"[19.712, 19.704]"
104,"[19.704, 19.738]"
105,"[19.738, 19.734]"
106,"[19.734, 19.717]"
107,"[19.717, 19.714]"
108,"[19.714, 19.721]"
109,"[19.721, 19.731]"
110,"[19.731, 19.714]"
111,"[19.714, 19.715]"
112,"[19.715, 19.748]"
113,"[19.748, 19.732]"
114,"[19.732, 19.754]"
115,"[19.754, 19.737]"
116,"[19.737, 19.721]"
117,"[19.721, 19.748]"
118,"[19.748, 19.733]"
119,"[19.733, 19.738]"
120,"[19.738, 19.762]"
121,"[19.762, 19.748]"
122,"[19.748, 19.74]"
123,"[19.74, 19.739]"
124,"[19.739, 19.734]"
125,"[19.734, 19.735]"
126,"[19.735, 19.728]"
127,"[19.728, 19.741]"
128,"[19.741, 19.741]"
129,"[19.741, 19.727]"
130,"[19.727, 19.697]"
131,"[19.697, 19.697]"
132,"[19.697, 19.71]"
133,"[19.71, 19.691]"
134,"[19.691, 19.678]"
135,"[19.678, 19.69]"
136,"[19.69, 19.729]"
137,"[19.729, 19.714]"
138,"[19.714, 19.713]"
139,"[19.713, 19.71]"
140,"[19.71, 19.705]"
141,"[19.705, 19.721]"
142,"[19.721, 19.71]"
143,"[19.71, 19.716]"
144,"[19.716, 19.728]"
145,"[19.728, 19.726]"
146,"[19.726, 19.722]"
147,"[19.722, 19.75]"
148,"[19.75, 19.729]"
149,"[19.729, 19.738]"
