,close
0,"[41.82, 41.77]"
1,"[41.77, 41.81]"
2,"[41.81, 41.85]"
3,"[41.85, 41.84]"
4,"[41.84, 41.88]"
5,"[41.88, 41.84]"
6,"[41.84, 41.81]"
7,"[41.81, 41.75]"
8,"[41.75, 41.75]"
9,"[41.75, 41.75]"
10,"[41.75, 41.65]"
11,"[41.65, 41.57]"
12,"[41.57, 41.59]"
13,"[41.59, 41.56]"
14,"[41.56, 41.43]"
15,"[41.43, 41.3]"
16,"[41.3, 41.43]"
17,"[41.43, 41.52]"
18,"[41.52, 41.55]"
19,"[41.55, 41.63]"
20,"[41.63, 41.66]"
21,"[41.66, 41.66]"
22,"[41.66, 41.64]"
23,"[41.64, 41.59]"
24,"[41.59, 41.59]"
25,"[41.59, 41.52]"
26,"[41.52, 41.51]"
27,"[41.51, 41.54]"
28,"[41.54, 41.55]"
29,"[41.55, 41.46]"
30,"[41.46, 41.47]"
31,"[41.47, 41.46]"
32,"[41.46, 41.5]"
33,"[41.5, 41.43]"
34,"[41.43, 41.47]"
35,"[41.47, 41.52]"
36,"[41.52, 41.52]"
37,"[41.52, 41.44]"
38,"[41.44, 41.44]"
39,"[41.44, 41.4]"
40,"[41.4, 41.34]"
41,"[41.34, 41.36]"
42,"[41.36, 41.28]"
43,"[41.28, 41.3]"
44,"[41.3, 41.33]"
45,"[41.33, 41.27]"
46,"[41.27, 41.19]"
47,"[41.19, 41.25]"
48,"[41.25, 41.36]"
49,"[41.36, 41.45]"
50,"[41.45, 41.29]"
51,"[41.29, 41.27]"
52,"[41.27, 41.18]"
53,"[41.18, 41.15]"
54,"[41.15, 41.06]"
55,"[41.06, 41.04]"
56,"[41.04, 41.14]"
57,"[41.14, 41.02]"
58,"[41.02, 41.07]"
59,"[41.07, 41.09]"
60,"[41.09, 41.2]"
61,"[41.2, 41.23]"
62,"[41.23, 41.16]"
63,"[41.16, 41.14]"
64,"[41.14, 41.1]"
65,"[41.1, 41.06]"
66,"[41.06, 41.04]"
67,"[41.04, 40.99]"
68,"[40.99, 40.84]"
69,"[40.84, 40.85]"
70,"[40.85, 40.95]"
71,"[40.95, 40.96]"
72,"[40.96, 40.99]"
73,"[40.99, 40.95]"
74,"[40.95, 41.04]"
75,"[41.04, 41.05]"
76,"[41.05, 41.17]"
77,"[41.17, 41.07]"
78,"[41.07, 40.99]"
79,"[40.99, 40.7]"
80,"[40.7, 40.63]"
81,"[40.63, 40.68]"
82,"[40.68, 40.69]"
83,"[40.69, 40.73]"
84,"[40.73, 40.8]"
85,"[40.8, 40.62]"
86,"[40.62, 40.59]"
87,"[40.59, 40.71]"
88,"[40.71, 40.71]"
89,"[40.71, 40.86]"
90,"[40.86, 40.93]"
91,"[40.93, 40.96]"
92,"[40.96, 40.96]"
93,"[40.96, 40.98]"
94,"[40.98, 40.97]"
95,"[40.97, 40.91]"
96,"[40.91, 40.72]"
97,"[40.72, 40.59]"
98,"[40.59, 40.56]"
99,"[40.56, 40.61]"
100,"[40.61, 40.65]"
101,"[40.65, 40.65]"
102,"[40.65, 40.67]"
103,"[40.67, 40.64]"
104,"[40.64, 40.69]"
105,"[40.69, 40.6]"
106,"[40.6, 40.81]"
107,"[40.81, 40.86]"
108,"[40.86, 40.94]"
109,"[40.94, 40.97]"
110,"[40.97, 40.99]"
111,"[40.99, 41.0]"
112,"[41.0, 40.96]"
113,"[40.96, 40.98]"
114,"[40.98, 41.12]"
115,"[41.12, 41.1]"
116,"[41.1, 41.07]"
117,"[41.07, 41.09]"
118,"[41.09, 41.08]"
119,"[41.08, 40.98]"
120,"[40.98, 41.07]"
121,"[41.07, 41.12]"
122,"[41.12, 41.14]"
123,"[41.14, 41.04]"
124,"[41.04, 41.03]"
