,close
0,"[68.43, 68.39]"
1,"[68.39, 68.4]"
2,"[68.4, 68.43]"
3,"[68.43, 68.4]"
4,"[68.4, 68.41]"
5,"[68.41, 68.38]"
6,"[68.38, 68.3]"
7,"[68.3, 68.29]"
8,"[68.29, 68.32]"
9,"[68.32, 68.37]"
10,"[68.37, 68.35]"
11,"[68.35, 68.29]"
12,"[68.29, 68.27]"
13,"[68.27, 68.27]"
14,"[68.27, 68.33]"
15,"[68.33, 68.33]"
16,"[68.33, 68.31]"
17,"[68.31, 68.32]"
18,"[68.32, 68.33]"
19,"[68.33, 68.35]"
20,"[68.35, 68.38]"
21,"[68.38, 68.39]"
22,"[68.39, 68.35]"
23,"[68.35, 68.35]"
24,"[68.35, 68.39]"
25,"[68.39, 68.41]"
26,"[68.41, 68.38]"
27,"[68.38, 68.38]"
28,"[68.38, 68.43]"
29,"[68.43, 68.43]"
30,"[68.43, 68.41]"
31,"[68.41, 68.43]"
32,"[68.43, 68.45]"
33,"[68.45, 68.45]"
34,"[68.45, 68.4]"
35,"[68.4, 68.41]"
36,"[68.41, 68.38]"
37,"[68.38, 68.44]"
38,"[68.44, 68.41]"
39,"[68.41, 68.41]"
40,"[68.41, 68.42]"
41,"[68.42, 68.44]"
42,"[68.44, 68.42]"
43,"[68.42, 68.44]"
44,"[68.44, 68.43]"
45,"[68.43, 68.4]"
46,"[68.4, 68.29]"
47,"[68.29, 68.32]"
48,"[68.32, 68.32]"
49,"[68.32, 68.34]"
50,"[68.34, 68.31]"
51,"[68.31, 68.33]"
52,"[68.33, 68.36]"
53,"[68.36, 68.35]"
54,"[68.35, 68.38]"
55,"[68.38, 68.39]"
56,"[68.39, 68.35]"
57,"[68.35, 68.35]"
58,"[68.35, 68.32]"
59,"[68.32, 68.32]"
60,"[68.32, 68.36]"
61,"[68.36, 68.31]"
62,"[68.31, 68.35]"
63,"[68.35, 68.34]"
64,"[68.34, 68.36]"
65,"[68.36, 68.31]"
66,"[68.31, 68.32]"
67,"[68.32, 68.36]"
68,"[68.36, 68.36]"
69,"[68.36, 68.33]"
