,close
0,"[0.8427, 0.8425]"
1,"[0.8425, 0.8414]"
2,"[0.8414, 0.8424]"
3,"[0.8424, 0.8428]"
4,"[0.8428, 0.8428]"
5,"[0.8428, 0.843]"
6,"[0.843, 0.8423]"
7,"[0.8423, 0.8418]"
8,"[0.8418, 0.8419]"
9,"[0.8419, 0.842]"
10,"[0.842, 0.8413]"
11,"[0.8413, 0.8403]"
12,"[0.8403, 0.84]"
13,"[0.84, 0.8399]"
14,"[0.8399, 0.8403]"
15,"[0.8403, 0.8402]"
16,"[0.8402, 0.8393]"
17,"[0.8393, 0.8387]"
18,"[0.8387, 0.8393]"
19,"[0.8393, 0.8398]"
20,"[0.8398, 0.8405]"
21,"[0.8405, 0.8411]"
22,"[0.8411, 0.8421]"
23,"[0.8421, 0.8421]"
24,"[0.8421, 0.8419]"
25,"[0.8419, 0.8417]"
26,"[0.8417, 0.8421]"
27,"[0.8421, 0.8417]"
28,"[0.8417, 0.8406]"
29,"[0.8406, 0.8407]"
30,"[0.8407, 0.8402]"
31,"[0.8402, 0.8398]"
32,"[0.8398, 0.8404]"
33,"[0.8404, 0.8402]"
34,"[0.8402, 0.8407]"
35,"[0.8407, 0.8394]"
36,"[0.8394, 0.8392]"
37,"[0.8392, 0.839]"
38,"[0.839, 0.84]"
39,"[0.84, 0.84]"
40,"[0.84, 0.841]"
41,"[0.841, 0.8414]"
42,"[0.8414, 0.8417]"
43,"[0.8417, 0.841]"
44,"[0.841, 0.8414]"
45,"[0.8414, 0.8416]"
46,"[0.8416, 0.8417]"
47,"[0.8417, 0.8415]"
48,"[0.8415, 0.8418]"
49,"[0.8418, 0.8417]"
50,"[0.8417, 0.841]"
51,"[0.841, 0.8405]"
52,"[0.8405, 0.8404]"
53,"[0.8404, 0.8405]"
54,"[0.8405, 0.8414]"
55,"[0.8414, 0.8424]"
56,"[0.8424, 0.8422]"
57,"[0.8422, 0.8422]"
58,"[0.8422, 0.8428]"
59,"[0.8428, 0.8429]"
60,"[0.8429, 0.8426]"
61,"[0.8426, 0.8423]"
62,"[0.8423, 0.842]"
63,"[0.842, 0.8419]"
